"County","neighbourhood","meannoofreviews","meanrevnumber","meanprice"
"Bronx","Allerton",59.12,3.27,680.86
"Bronx","Baychester",42.15,3.41,500.67
"Bronx","Bronxdale",35.58,3.16,562.47
"Bronx","Castle Hill",75.88,2.75,308
"Bronx","City Island",55.67,3.69,647.25
"Bronx","Claremont Village",20.52,3.45,658.76
"Bronx","Clason Point",22.63,3.56,604.93
"Bronx","Co-op City",18.6,4.4,527.6
"Bronx","Concourse",51.72,3.12,693.42
"Bronx","Concourse Village",32.31,3.36,525.51
"Bronx","East Morrisania",49.65,3.15,786.95
"Bronx","Edenwald",25.5,3.42,597.31
"Bronx","Fieldston",13.38,3.29,710.08
"Bronx","Fordham",24.93,3.28,644.25
"Bronx","Highbridge",44.91,3.11,713.07
"Bronx","Hunts Point",15.13,3.23,607.26
"Bronx","Kingsbridge",29.46,3.32,572.84
"Bronx","Longwood",38.59,3.36,674.25
"Bronx","Morris Heights",30.68,3.18,688.41
"Bronx","Morris Park",23.45,3.1,706.68
"Bronx","Morrisania",28.55,3.82,598.59
"Bronx","Mott Haven",44.7,3.43,618.43
"Bronx","Mount Eden",62.56,3.88,650.75
"Bronx","North Riverdale",28.53,3.68,699.37
"Bronx","Olinville",28.88,3.19,723.12
"Bronx","Parkchester",38.28,3.23,651.84
"Bronx","Pelham Bay",39.08,3.29,706.53
"Bronx","Pelham Gardens",47.3,3.3,609.18
"Bronx","Port Morris",30.09,3.23,574.57
"Bronx","Riverdale",44,2.92,822.42
"Bronx","Soundview",45.84,3.35,622.32
"Bronx","Spuyten Duyvil",12.62,3,314.12
"Bronx","Throgs Neck",52.62,3.43,680.32
"Bronx","Tremont",27.46,3.5,550.79
"Bronx","Unionport",30.42,3.84,562
"Bronx","University Heights",39.84,3.34,671.34
"Bronx","Van Nest",34.77,3.36,607.18
"Bronx","Wakefield",38.28,3.37,631.43
"Bronx","West Farms",5.17,4,463.17
"Bronx","Westchester Square",25.41,3.59,580.14
"Bronx","Williamsbridge",36.95,3.46,642.36
"Bronx","Woodlawn",53.26,3.3,572.63
"Kings","Bath Beach",36.21,3.19,765.33
"Kings","Bay Ridge",34.48,3.2,614.14
"Kings","Bedford-Stuyvesant",38.92,3.29,624.05
"Kings","Bensonhurst",37.47,3.29,584.92
"Kings","Bergen Beach",35.73,2.88,580.85
"Kings","Boerum Hill",34.83,3.25,618.48
"Kings","Borough Park",23.9,3.45,608.54
"Kings","Brighton Beach",25.97,3.33,686.22
"Kings","Brooklyn Heights",24.41,3.09,599.99
"Kings","Brownsville",34.78,3.51,679.84
"Kings","Bushwick",29.77,3.27,631.69
"Kings","Canarsie",45.31,3.4,622.27
"Kings","Carroll Gardens",36.9,3.25,642.65
"Kings","Clinton Hill",32.74,3.2,633.53
"Kings","Cobble Hill",35.3,3.19,637.58
"Kings","Columbia St",25.3,3.4,713.53
"Kings","Coney Island",37.48,3.02,695.4
"Kings","Crown Heights",31.86,3.29,623.65
"Kings","Cypress Hills",37.38,3.33,623.8
"Kings","Downtown Brooklyn",27.76,3.43,623.65
"Kings","DUMBO",76.6,2.81,558.62
"Kings","Dyker Heights",36.91,3.09,617.74
"Kings","East Flatbush",32.4,3.32,642.81
"Kings","East New York",38.59,3.32,613.57
"Kings","Flatbush",29.23,3.27,650.75
"Kings","Flatlands",32.37,3.12,638.26
"Kings","Fort Greene",29.29,3.18,616.43
"Kings","Fort Hamilton",23.45,3.59,556.64
"Kings","Gerritsen Beach",49.33,4.33,694.33
"Kings","Gowanus",43.32,3.2,647.5
"Kings","Gravesend",35.62,3.42,702.64
"Kings","Greenpoint",25.34,3.19,615.07
"Kings","Manhattan Beach",61.4,2.45,647.15
"Kings","Midwood",25.11,3.49,589.36
"Kings","Mill Basin",14.29,3.79,775.14
"Kings","Navy Yard",22.04,3.11,501.04
"Kings","Park Slope",39.18,3.24,601.99
"Kings","Prospect-Lefferts Gardens",34.28,3.29,639.34
"Kings","Prospect Heights",39.09,3.15,665.47
"Kings","Red Hook",40,3.11,632.44
"Kings","Sea Gate",4.33,2.83,548.58
"Kings","Sheepshead Bay",33.49,3.25,631.55
"Kings","South Slope",41.75,3.2,648.51
"Kings","Sunset Park",29.62,3.16,634.98
"Kings","Vinegar Hill",21.02,3.16,614.21
"Kings","Williamsburg",28.53,3.25,624.31
"Kings","Windsor Terrace",39.67,3.1,592.29
"Queens","Arverne",37.27,3.21,652.69
"Queens","Astoria",31.6,3.24,638.6
"Queens","Bay Terrace",40.14,3.71,594.71
"Queens","Bayside",33.95,3.23,590.61
"Queens","Bayswater",19.45,3.34,625.48
"Queens","Belle Harbor",35.19,3.08,586.12
"Queens","Bellerose",20.74,3.32,649.11
"Queens","Breezy Point",4,2.86,368
"Queens","Briarwood",33.4,3.61,723.11
"Queens","Cambria Heights",39.28,3.32,708.28
"Queens","College Point",35.57,3.43,714.67
"Queens","Corona",33.66,3.24,624.14
"Queens","Ditmars Steinway",34.81,3.38,644.69
"Queens","Douglaston",24.48,3,505.05
"Queens","East Elmhurst",95.59,3.34,668.16
"Queens","Edgemere",21.58,3.17,625.42
"Queens","Elmhurst",32.1,3.32,629.04
"Queens","Far Rockaway",25.03,3.59,604.12
"Queens","Flushing",47.15,3.29,629.17
"Queens","Forest Hills",29.51,3.42,598.44
"Queens","Fresh Meadows",44.03,3.07,547.96
"Queens","Glen Oaks",29.5,4.5,550.5
"Queens","Glendale",31.87,3.01,667.27
"Queens","Hollis",17.53,3.53,500
"Queens","Holliswood",10.4,3.6,502.4
"Queens","Howard Beach",46.05,3.35,509.6
"Queens","Jackson Heights",40.05,3.31,640.29
"Queens","Jamaica",57.39,3.37,618.33
"Queens","Jamaica Estates",39.77,3.62,627.15
"Queens","Jamaica Hills",14.55,2.7,800.25
"Queens","Kew Gardens",15.84,3.48,630.42
"Queens","Kew Gardens Hills",20.91,3.25,676.34
"Queens","Laurelton",26.29,3.34,584.9
"Queens","Little Neck",6.67,4.33,906.33
"Queens","Maspeth",33.76,3.32,611.27
"Queens","Middle Village",37.12,3.12,566.6
"Queens","Neponsit",16.43,3.57,632
"Queens","Ozone Park",36.66,3.54,658.6
"Queens","Queens Village",47.19,3.22,649.35
"Queens","Rego Park",37.19,3.34,619.77
"Queens","Richmond Hill",36.85,3.39,551.67
"Queens","Ridgewood",27.46,3.38,634.9
"Queens","Rockaway Beach",44.38,3.31,648.76
"Queens","Rosedale",35.97,3.54,605.24
"Queens","South Ozone Park",47.07,3.39,600.02
"Queens","Springfield Gardens",79.55,3.35,625.76
"Queens","St. Albans",45.29,3.49,612.96
"Queens","Sunnyside",30.82,3.38,606.12
"Queens","Whitestone",34.95,3.37,590.16
"Queens","Woodhaven",46.04,3.33,631.76
"Queens","Woodside",25.51,3.39,638.9
